ID,tipo,gas_price
11703,premium,23.89
11703,regular,20.93
11702,diesel,25.25
11702,regular,23.8
11702,premium,25.8
11701,regular,17.89
11700,regular,21.98
11699,regular,21.99
11699,premium,24.14
11698,regular,22.5
11698,diesel,24.2
11697,regular,21.69
11697,diesel,23.29
11696,regular,21.09
11695,regular,21.79
11694,regular,21.69
3153,premium,23.49
3153,regular,20.65
3153,diesel,22.99
11693,regular,21.95
11692,diesel,24.65
11692,regular,22
11692,premium,24.6
11691,regular,21.79
11691,diesel,22.99
11691,premium,24.89
11690,regular,21.69
11395,diesel,24.49
11395,regular,22.19
11395,premium,24.99
11394,diesel,23.98
11394,premium,23.56
11394,regular,21.99
11393,regular,21.38
11392,regular,22.69
11392,diesel,24.19
11392,premium,25.49
11391,regular,20.99
11391,diesel,22.49
11391,premium,23.99
11390,regular,21.99
11390,premium,25.29
11390,diesel,24.49
2802,regular,22.29
2802,diesel,23.11
2802,premium,24.99
11389,regular,18.15
11388,regular,22.79
11387,regular,22.09
11387,premium,24.09
11386,regular,21.8
11385,regular,21.99
11384,regular,22.99
11383,regular,21.79
11383,premium,24.19
11382,regular,22.13
11382,premium,25.99
11381,regular,21.49
11380,regular,22.5
2848,premium,24.99
2848,regular,21.79
11379,regular,23.72
11378,premium,25.49
11378,regular,22.65
11378,diesel,24.15
11376,regular,23.31
11376,diesel,25.27
11376,premium,24.89
11377,regular,22.69
11375,regular,23.58
11374,regular,24.19
11374,diesel,25.72
11373,regular,23.58
11372,regular,23.31
11372,diesel,25.27
11372,premium,24.89
11371,regular,23.63
11370,regular,22.99
2789,regular,22.49
2789,diesel,23.99
2789,premium,24.99
11368,diesel,24.9
11368,regular,23.5
11367,regular,23.31
11367,diesel,25.27
11367,premium,24.89
11366,regular,23.09
11365,regular,22.49
11364,regular,23.44
11362,regular,23.09
11361,regular,23.58
11360,premium,24.5
11360,regular,22.99
3088,regular,22.59
11359,regular,21.81
11358,regular,23.09
11357,regular,21.69
11357,diesel,23.69
11356,premium,23.95
11356,diesel,24.3
11356,regular,22.59
11355,premium,25.95
11355,regular,22.95
11354,regular,23.2
11353,regular,21.39
11353,diesel,22.79
11353,premium,19.7
11345,regular,17.99
11345,premium,20.99
11345,diesel,22.99
11352,diesel,22.39
